exchange,exchange_token,trading_symbol,groww_symbol,name,instrument_type,segment,series,isin,lot_size,tick_size,buy_allowed,sell_allowed,internal_trading_symbol,is_intraday
NSE,11952,739NHAI26,NSE-739NHAI26,739NHAI26,EQ,CASH,N8,INE906B07EH2,1.0,0.01,0,1,739NHAI26-N8,0
NSE,20052,740IIFCL33,NSE-740IIFCL33,740IIFCL33,EQ,CASH,N1,INE787H07156,1.0,0.01,0,1,740IIFCL33-N1,0
NSE,29111,738REC27TF,NSE-738REC27TF,738REC27TF,EQ,CASH,N2,INE020B07GX4,1.0,0.01,0,1,738REC27TF-N2,0
NSE,9913,738GS2027,NSE-738GS2027,738GOI2027,EQ,CASH,GS,IN0020220037,1.0,0.01,0,1,738GS2027-GS,0
NSE,14522,739NHAI31A,NSE-739NHAI31A,739NHAI31A,EQ,CASH,ND,INE906B07EO8,1.0,0.01,0,1,739NHAI31A-ND,0
NSE,19926,743REC35,NSE-743REC35,743REC35,EQ,CASH,NH,INE020B07JU4,1.0,0.01,0,1,743REC35-NH,0
NSE,8120,744KA35,NSE-744KA35,744KARSDL35,EQ,CASH,SG,IN1920210359,100.0,0.01,0,1,744KA35-SG,0
NSE,3422,745IGT26,NSE-745IGT26,745IGT26,EQ,CASH,NC,INE219X07199,1.0,0.01,0,1,745IGT26-NC,0
NSE,3442,749IGT28,NSE-749IGT28,749IGT28,EQ,CASH,NG,INE219X07231,1.0,0.01,0,1,749IGT28-NG,0
NSE,10981,74GS2062,NSE-74GS2062,74GOI2062,EQ,CASH,GS,IN0020220094,1.0,0.01,0,1,74GS2062-GS,0
NSE,11757,750IRFC35,NSE-750IRFC35,750IRFC35,EQ,CASH,NK,INE053F07843,1.0,0.01,0,1,750IRFC35-NK,0
NSE,9585,754GS2036,NSE-754GS2036,754GOI2036,EQ,CASH,GS,IN0020220029,1.0,0.01,0,1,754GS2036-GS,0
NSE,11754,753IRFC30,NSE-753IRFC30,753IRFC30,EQ,CASH,NJ,INE053F07835,1.0,0.01,0,1,753IRFC30-NJ,0
NSE,29312,751HUDCO28,NSE-751HUDCO28,HUDCO (N5),EQ,CASH,N5,INE031A07865,1.0,0.01,0,1,751HUDCO28-N5,0
NSE,10749,753NTPC30E,NSE-753NTPC30E,753NTPC30E,EQ,CASH,NC,INE733E07JV4,1.0,0.01,0,1,753NTPC30E-NC,0
NSE,10046,757GS2033,NSE-757GS2033,757GOI2033,EQ,CASH,GS,IN0020190065,1.0,0.01,0,1,757GS2033-GS,0
NSE,19976,760PFCL35,NSE-760PFCL35,760PFC35,EQ,CASH,N3,INE134E07588,1.0,0.01,0,1,760PFCL35-N3,0
NSE,12692,763KA37,NSE-763KA37,763KARSDL37,EQ,CASH,SG,IN1920220051,100.0,0.01,0,1,763KA37-SG,0
NSE,9907,763GS2059,NSE-763GS2059,763GOI2059,EQ,CASH,GS,IN0020190057,1.0,0.01,0,1,763GS2059-GS,0
NSE,10751,762NTPC35F,NSE-762NTPC35F,762NTPC35F,EQ,CASH,ND,INE733E07JW2,1.0,0.01,0,1,762NTPC35F-ND,0
NSE,9538,762GS2039,NSE-762GS2039,762GOI2039,EQ,CASH,GS,IN0020190024,1.0,0.01,0,1,762GS2039-GS,0
